,id,name,income,inhabitants,name_norm,x,y,distance_bank,distance_cafe,distance_clinic,distance_hospital,distance_pharmacy,distance_restaurant,distance_school
0,2408102001,Santos Reis,984.31,2989,Santos Reis,-35.199888199810125,-5.762731316420609,2592.872329965595,8818.12085508308,2152.0201547054717,984.5122715584691,1820.8303091947887,1603.613054003349,1440.366953764216
1,2408102002,Praia do Meio,1658.16,2810,Praia do Meio,-35.195082509561765,-5.778859938031222,1429.2475144054652,7159.800093829607,839.3442401973903,451.4048026471281,607.2395514034737,700.4211223282783,484.4039648629805
2,2408102003,Rocas,969.39,5806,Rocas,-35.200215780007866,-5.774142098826128,1435.3846657881484,7558.165085548385,897.1609246805427,459.9160453354818,644.6701439585185,515.4591558340065,298.302111352048
3,2408102004,Ribeira,2825.82,1453,Ribeira,-35.20576759450921,-5.776235917171792,968.0815626709015,7252.817375695324,738.9309502767455,353.9048328028821,332.04910004476613,172.0585732609749,872.6597748522372
4,2408102005,Petrópolis,4736.63,3288,Petropolis,-35.19839307019092,-5.78459086155625,755.5088911856852,6454.735454651214,211.76463963207982,273.36369187803774,339.9711126382756,177.28503322718205,1008.4223999804527
5,2408102006,Areia Preta,3262.82,1265,Areia Preta,-35.190114471009174,-5.787489710358123,1588.3173715845958,6412.509497056777,801.7981944589849,653.8116549714202,588.0500409569581,421.66758708175917,826.4615398167781
6,2408102007,Mãe Luíza,750.24,7412,Mae Luiza,-35.18672499728198,-5.794811000561912,2116.777525315196,5825.154168067252,1512.5240309754643,1390.9705365270186,1369.6284679880928,1249.1429119473241,231.9405991289522
7,2408102008,Tirol,4631.55,10536,Tirol,-35.20038900875697,-5.800878241107553,1316.3346197942644,4642.502073375186,290.07956034711447,801.609907715836,905.861965746047,573.269343393572,1446.6554219249533
8,2408102009,Cidade Alta,1530.34,4287,Cidade Alta,-35.20890642193147,-5.78602047827605,198.3227168033822,6145.5699940358145,858.1312072607766,987.5112888949486,183.44110811349958,188.15685694282067,1676.6919589391568
9,2408102010,Lagoa Seca,1654.84,3619,Lagoa Seca,-35.210512804697515,-5.807087756131025,324.81132992343856,3798.7463456573314,1154.6067318857895,364.01596111715423,221.29139972011487,537.0064613352656,499.9893252813229
10,2408102011,Alecrim,1142.23,16635,Alecrim,-35.219022286773495,-5.796980865523957,171.5004631131377,4999.3652138121515,1819.041128407805,498.80033974444575,208.73802195852403,256.32688530239574,213.54492524574678
11,2408102012,Quintas,797.40,14526,Quintas,-35.23168224869889,-5.79740982031524,1418.5957236931188,5379.31962289765,3201.069535353885,1471.14983976734,1447.2809928427923,384.7210500067022,380.0006169495492
12,2408102013,Nordeste,888.74,6158,Nordeste,-35.243833105441624,-5.7930015029948025,2712.806748456083,6470.055624223004,4598.816782235721,2711.1285269633686,2778.817632747646,1073.1502040288694,1096.329242144471
13,2408102014,Bom Pastor,644.00,9049,Bom Pastor,-35.245990880755436,-5.808837066789559,3376.2157536800196,5276.089955503712,4563.140188899641,2097.17208866869,2285.359031960367,1651.8815613431536,249.60947125425042
14,2408102015,Cidade da Esperança,1316.96,11065,Cidade da Esperanca,-35.23556323881228,-5.825693852668586,2365.476913841184,3205.4347754418077,3169.231941864436,124.06609822443671,702.4005518825047,1658.9131243630814,666.3827951197604
15,2408102016,Dix-Sept Rosado,869.58,8619,Dix-Sept Rosado,-35.227039612705475,-5.809542047688665,1569.9923552147413,3940.8256892848012,2588.2705105748196,1704.5904932383837,1160.8612357600252,1311.5192918196085,1349.6686544377872
16,2408102017,Lagoa Nova,2934.22,23797,Lagoa Nova,-35.21162892809903,-5.82476422278651,416.3767363976038,1833.5695665689595,519.6456611759414,1208.5739781433226,415.7447963978552,368.671163504912,208.4721705278688
17,2408102018,Nova Descoberta,1538.88,7612,Nova Descoberta,-35.1988076459108,-5.826579328242543,1382.656420658184,2123.5801744479695,923.6948929808813,1328.9737271314282,193.6701710112866,198.3014327347351,722.6633489828557
18,2408102019,Candelária,3249.53,14022,Candelaria,-35.221412846253294,-5.8450141719153805,1397.3104319629,1204.942297761141,2772.500958117051,2290.5303548983557,859.3187641715249,524.8361338000018,597.6923008645005
19,2408102020,Cidade Nova,702.91,8886,Cidade Nova,-35.23858462740602,-5.838378797499548,2900.9364170722515,3047.7967790143193,3819.094734476781,1570.8862989384347,2021.2314653138628,1533.2755475420026,2013.1154839797362
20,2408102021,Filipe Camarão,650.27,25401,Filipe Camarao,-35.25640637406227,-5.822865896793634,4692.474813188939,5405.010737700067,5476.504535326962,2315.18726778423,2890.8373515264984,3571.515541234845,2040.3590582236352
21,2408102022,Guarapés,487.64,4461,Guarapes,-35.27023135816722,-5.83668356056118,6249.398049946644,6551.349633051469,7128.542313513154,4065.9102512847444,4703.981028515047,5017.514779120055,3990.5564801465425
22,2408102023,Pitimbú,2014.20,15049,Pitimbu,-35.23398645334111,-5.862337037336537,3614.7016441571636,3441.292150801387,5148.308641860762,4202.150158032795,3234.9616507216124,2857.2824125498228,2930.419518017786
23,2408102024,Neópolis,1721.39,14046,Neopolis,-35.20802087074623,-5.867159474515333,2936.374656295643,2898.8594221321646,4726.943562947827,5082.8287813603165,2995.3943477627663,3124.955300779546,3339.3965123848907
24,2408102025,Capim Macio,3440.97,14700,Capim Macio,-35.19949204189424,-5.856988530071816,1992.3042923372961,2171.1977639147667,3687.4768668170723,4568.926507637909,2172.822997737525,1912.0444220384677,2863.252591814737
